E (pol.),L (pol.),E (mm),L (mm),Comprimento Aprox. (m)
1/8'',3/8'',"3,18","9,52",6
1/8'',1/2'',"3,18","12,7",6
1/8'',5/8'',"3,18","15,88",6
1/8'',3/4'',"3,18","19,05",6
1/8'',7/8'',"3,18","22,22",6
1/8'',1'',"3,18","25,4",6
1/8'',1 1/8'',"3,18","28,58",6
1/8'',1 1/4'',"3,18","31,75",6
1/8'',1 1/2'',"3,18","38,1",6
1/8'',2'',"3,18","50,8",6
3/16'',5/8'',"4,76","15,88",6
3/16'',3/4'',"4,76","19,05",6
3/16'',7/8'',"4,76","22,22",6
3/16'',1'',"4,76","25,4",6
3/16'',1 1/4'',"4,76","31,75",6
3/16'',1 1/2'',"4,76","38,1",6
3/16'',2'',"4,76","50,8",6
3/16'',3'',"4,76","76,2",6
3/16'',4'',"4,76","101,6",6
1/4'',1/2'',"6,35","12,7",6
1/4'',3/4'',"6,35","19,05",6
1/4'',1'',"6,35","25,4",6
1/4'',1'' 1/2,"6,35","38,1",6
1/4'',2'',"6,35","50,8",6
1/4'',2 1/2'',"6,35","63,5",6
1/4'',3'',"6,35","76,2",6
1/4'',4'',"6,35","101,6",6
