Espessura(pol),Espessura (mm),Aço,Tamanho Total(mm)
14'',2.00,1020,1200x3000
16'',1.52,1020,1200x3000
18'',1.25,1020,1200x3000
3/16'',4.76,1020,1200x3000
1/4'',6.35,1020/1045,1200x3000
5/16'',7.94,1020,1200x3000
3/8'',9.52,1020/1045,1200x3000
1/2'',12.70,1020/1045,1200x3000
5/8'',15.88,1020/1045,1200x3000
3/4'',19.05,1020/1045,1200x3000
7/8'',22.23,1020/1045,1200x3000
1'',25.40,1020/1045,1200x3000
1 1/4'',31.75,1020/1045,1200x3000
1 1/2'',38.10,1020/1045,1200x3000
1 3/4'',44.45,1020,1200x3000
2'',50.80,1020/1045,1200x3000
