Diâmetro externo(pol),Diâmetro externo(mm),Material
1'',25.40,Branco/Nodular
1 3/8'',34.92,Branco/Nodular
1 1/2'',38.10,Branco/Nodular
1 3/4'',44.45,Branco/Nodular
2'',50.80,Branco/Nodular
2 1/4'',57.15,Branco/Nodular
2 1/2'',63.50,Nodular
2 3/4'',69.85,Branco/Nodular
3'',76.20,Branco/Nodular
3 1/4'',82.55,Branco/Nodular
3 1/2'',88.90,Branco/Nodular
3 3/4'',95.25,Branco/Nodular
4'',101.60,Branco/Nodular
4 1/4'',107.95,Branco/Nodular
4 1/2'',114.30,Branco/Nodular
4 3/4'',120.65,Branco/Nodular
5'',127.00,Branco/Nodular
5 1/4'',133.35,Branco/Nodular
5 1/2'',139.70,Branco/Nodular
5 3/4'',146.05,Branco/Nodular
6'',152.40,Branco/Nodular
6 1/4'',158.75,Branco/Nodular
6 1/2'',165.10,Branco/Nodular
6 3/4'',171.45,Branco/Nodular
7'',177.80,Branco/Nodular
7 1/2'',190.50,Branco/Nodular
8'',203.20,Branco/Nodular
8 1/2'',215.90,Branco/Nodular
8 1/4'',209.55,Nodular
9'',228.60,Branco/Nodular
9 1/2'',241.30,Branco/Nodular
10'',254.00,Branco/Nodular
10 1/2'',266.70,Branco/Nodular
11'',279.40,Branco/Nodular
11 1/2'',292.10,Nodular
12'',304.80,Nodular
13'',330.20,Nodular
