Formato,Bitola (mm),Bitola (pol),Comprimento aprox.(m),Aço
Redondo,4.75,3/16'',6.00,1020
Redondo,6.35,1/4'',6.00,1020
Redondo,7.93,5/16'',6.00,1020
Redondo,9.53,3/8'',6.00,1020/1045
Redondo,10.00,-,6.00,1020
Redondo,11.00,7/16'',6.00,1020
Redondo,12.00,-,6.00,1020
Redondo,12.70,1/2'',6.00,1020/1045
Redondo,14.29,9/16,6.00,1045
Redondo,15.00,-,6.00,1020
Redondo,15.88,5/8'',6.00,1020/1045
Redondo,17.00,-,6.00,1020
Redondo,19.05,3/4'',6.00,1020/1045
Redondo,20.00,-,6.00,1020
Redondo,22.23,7/8'',6.00,1020/1045
Redondo,25.00,-,6.00,1045
Redondo,25.40,1'',6.00,1020/1045
Redondo,28.58,1 1/8'',6.00,1020/1045
Redondo,30.00,-,6.00,1045
Redondo,31.75,1 1/4'',6.00,1020/1045
Redondo,34.93,1 3/8,6.00,1020/1045
Redondo,38.10,1 1/2,6.00,1020/1045
Redondo,38.10,1 1/2,6.00,1020/1045
Redondo,40.00,-,6.00,1045
Redondo,41.28,1 5/8'',6.00,1020/1045
Redondo,44.45,1 3/4'',6.00,1020/1045
Redondo,45.00,-,6.00,1045
Redondo,47.63,1 7/8'',6.00,1045
Redondo,50.00,-,6.00,1045
Redondo,50.80,2'',6.00,1020/1045
Redondo,53.98,2 1/8'',6.00,1045
Redondo,57.15,2 1/4'',6.00,1020/1045
Redondo,60.00,-,6.00,1045
Redondo,60.33,2 3/8'',6.00,1045
Redondo,69.85,2 3/4'',6.00,1020/1045
Redondo,70.00,-,6.00,1045
Redondo,75.00,-,6.00,1045
Redondo,76.20,3'',6.00,1020/1045
Redondo,80.00,-,6.00,1045
Redondo,85.00,-,6.00,1045
Redondo,88.90,3 1/2'',6.00,1045
Redondo,90.00,-,6.00,1045
Redondo,95.00,-,6.00,1045
Redondo,100.00,-,6.00,1045
Redondo,101.60,4'',6.00,1045
Quadrado,12.70,1/2'',6.00,1020/1045
Quadrado,15.88,5/8'',6.00,1020/1045
Quadrado,19.05,3/4'',6.00,1020/1045
Quadrado,22.23,7/8'',6.00,1020/1045
Quadrado,25.40,1'',6.00,1045
Quadrado,31.75,1 1/4'',6.00,1045
Quadrado,38.10,1 3/4'',6.00,1045
Quadrado,44.45,1 1/2'',6.00,1045
Quadrado,50.80,2'',6.00,1045
Sextavado,12.70,1/2'',6.00,1020
Sextavado,15.88,5/8'',6.00,1020/1045
Sextavado,19.05,3/4'',6.00,1020/1045
Sextavado,22.23,7/8'',6.00,1020/1045
Sextavado,25.4,1'',6.00,1020/1045
Sextavado,31.75,1 1/4'',6.00,1045
Sextavado,38.1,1 1/2'',6.00,1020/1045
Sextavado,44.45,1 3/4'',6.00,1020/1045
Sextavado,50.8,2'',6.00,1045
