ABA,CHAPA,PESO
1/2,1/8,"0,570"
5/8,1/8,"0,780"
3/4,1/8,"0,860"
7/8,1/8,"1,040"
1,1/8,"1,270"
1 1/4,1/8,"1,520"
1 1/2,1/8,"1,830"
1 3/4,1/8,"2,140"
2,1/8,"2,460"
1,3/16,"1,730"
1 1/4,3/16,"2,190"
1 1/2,3/16,"2,660"
1 3/4,3/16,"3,150"
2,3/16,"3,630"
2 1/2,3/16,"4,570"
1,1/4,"2,240"
1 1/4,1/4,"2,860"
1 1/2,1/4,"3,480"
1 3/4,1/4,"4,120"
2,1/4,"4,750"
2 1/2,1/4,"6,100"
3,1/4,"7,290"
2 1/2,5/16,"5,830"
3,5/16,"7,410"
4,5/16,"8,990"
2,3/8,"12,660"
2 1/2,3/8,"8,780"
3,3/8,"10,690"
4,3/8,"14,410"
5,3/8,"18,300"
6,3/8,"22,200"
2,1/2,"8,970"
2 1/2,1/2,"11,460"
3,1/2,"13,930"
4,1/2,"18,970"
5,1/2,"24,030"
6,1/2,"29,170"
8,1/2,"39,290"
4,5/8,"23,360"
5,5/8,"29,760"
6,5/8,"36,010"
8,5/8,"48,660"
5,3/4,"35,120"
6,3/4,"42,710"
8,3/4,"57,890"
8,7/8,"66,970"
